FIPS,Sex,Race/ethnicity,Age,2020,2021,2022,2023,2024,2025
6000,FEMALE,WHITE NH,0,56360,63314,63462,59878,63394,62889
6000,FEMALE,WHITE NH,1,54277,56230,63180,63304,59578,63088
6000,FEMALE,WHITE NH,2,54357,54636,56925,63925,64054,59525
6000,FEMALE,WHITE NH,3,55488,54201,55021,57248,64432,64149
6000,FEMALE,WHITE NH,4,56853,55509,54185,54971,57611,64558
6000,FEMALE,WHITE NH,5,57535,56930,55654,54354,54880,57497
6000,FEMALE,WHITE NH,6,57690,57822,57022,55591,54417,55245
6000,FEMALE,WHITE NH,7,57420,57986,58185,57068,55846,54455
6000,FEMALE,WHITE NH,8,56894,57514,58074,58135,57057,56077
6000,FEMALE,WHITE NH,9,56955,56870,57418,57851,58196,56941
6000,FEMALE,WHITE NH,10,57674,57335,56657,57193,58054,58160
6000,FEMALE,WHITE NH,11,58522,57676,57458,56363,57081,57881
6000,FEMALE,WHITE NH,12,61235,58393,57701,57493,56388,56840
6000,FEMALE,WHITE NH,13,62001,61051,58040,58234,57611,56660
6000,FEMALE,WHITE NH,14,62244,62104,61096,57964,58273,57489
6000,FEMALE,WHITE NH,15,62204,61910,61895,61170,57866,58052
6000,FEMALE,WHITE NH,16,63161,61886,61815,61985,61013,57831
6000,FEMALE,WHITE NH,17,63444,63603,62153,62172,62339,61173
6000,FEMALE,WHITE NH,18,68332,77629,78947,78706,77637,77229
6000,FEMALE,WHITE NH,19,64647,74247,84947,86798,87213,86001
6000,FEMALE,WHITE NH,20,64625,63366,71932,82702,84521,84527
6000,FEMALE,WHITE NH,21,64498,61629,61996,68894,79597,81639
6000,FEMALE,WHITE NH,22,66509,61698,59088,58430,65396,77166
6000,FEMALE,WHITE NH,23,69816,64898,59338,56271,56021,63393
6000,FEMALE,WHITE NH,24,72268,69491,64175,56822,53603,53790
6000,FEMALE,WHITE NH,25,77751,71506,68488,64186,56075,53095
6000,FEMALE,WHITE NH,26,81793,76085,67821,64579,61121,53606
6000,FEMALE,WHITE NH,27,83098,83235,76216,69025,65771,61371
6000,FEMALE,WHITE NH,28,89628,83682,83742,76745,69812,65873
6000,FEMALE,WHITE NH,29,95260,90263,84339,85278,78367,70801
6000,FEMALE,WHITE NH,30,98178,95510,91435,85564,86363,79378
6000,FEMALE,WHITE NH,31,97113,99583,96155,92918,86923,88034
6000,FEMALE,WHITE NH,32,96020,98193,99195,96950,93677,88005
6000,FEMALE,WHITE NH,33,92761,96592,98799,100538,97533,94320
6000,FEMALE,WHITE NH,34,92953,93047,96727,99298,101531,98403
6000,FEMALE,WHITE NH,35,91966,93158,93057,97109,99852,102017
6000,FEMALE,WHITE NH,36,91217,92996,93894,93880,98176,100459
6000,FEMALE,WHITE NH,37,90685,92913,93491,94613,94371,98793
6000,FEMALE,WHITE NH,38,88752,90723,93152,93775,95108,94793
6000,FEMALE,WHITE NH,39,87542,88523,90332,94069,93985,95052
6000,FEMALE,WHITE NH,40,86611,88451,88965,91519,94296,94036
